id      ÖØÒª¶È 
80      4.385248632305812e-08 
81      3.879376779108238e-09 
87      3.746026213754898e-09 
32      3.2106619877091193e-09 
86      1.4067381645581516e-09 
170      1.3842672667367593e-09 
153      1.3752468285157008e-09 
116      1.2817643276348272e-09 
180      1.2703166759052687e-09 
48      1.2068408187342866e-09 
145      1.2040790687986118e-09 
124      1.1133854492854465e-09 
105      1.1058088588745006e-09 
196      1.1058088588745006e-09 
16      1.0690701337505641e-09 
60      1.0653370671442825e-09 
94      1.0222056760034915e-09 
77      1.022205676003491e-09 
213      9.931326029250917e-10 
22      9.526106988609598e-10 
160      9.526106988609598e-10 
201      8.766867465103686e-10 
46      8.759471095582781e-10 
150      8.399344429115508e-10 
112      8.399344429115508e-10 
129      8.399344429115508e-10 
41      8.399344429115508e-10 
135      8.362013763052692e-10 
168      8.174527253037902e-10 
122      7.881028818301916e-10 
191      7.881028818301916e-10 
171      7.881028818301916e-10 
133      7.881028818301916e-10 
156      7.881028818301916e-10 
19      6.817283127421623e-10 
185      6.754266258807827e-10 
194      6.754266258807827e-10 
21      6.754266258807827e-10 
216      6.754266258807827e-10 
143      6.754266258807827e-10 
147      6.754266258807827e-10 
20      6.754266258807827e-10 
15      6.754266258807827e-10 
221      6.754266258807827e-10 
181      6.754266258807827e-10 
90      6.754266258807827e-10 
224      6.754266258807827e-10 
100      6.754266258807827e-10 
56      6.754266258807827e-10 
93      6.754266258807827e-10 
50      6.754266258807827e-10 
9      6.754266258807827e-10 
52      6.754266258807827e-10 
203      6.754266258807827e-10 
30      6.754266258807827e-10 
91      6.754266258807827e-10 
144      6.754266258807827e-10 
199      6.754266258807827e-10 
113      6.754266258807827e-10 
226      6.754266258807827e-10 
193      6.754266258807827e-10 
152      6.754266258807827e-10 
110      6.754266258807827e-10 
179      6.754266258807827e-10 
121      6.754266258807827e-10 
169      6.754266258807827e-10 
10      6.754266258807827e-10 
186      6.754266258807827e-10 
139      6.754266258807827e-10 
73      6.754266258807827e-10 
37      6.754266258807827e-10 
63      6.754266258807827e-10 
202      6.754266258807827e-10 
101      6.754266258807827e-10 
184      6.754266258807827e-10 
204      6.754266258807827e-10 
40      6.754266258807827e-10 
12      6.754266258807827e-10 
174      6.754266258807827e-10 
66      6.754266258807827e-10 
205      6.754266258807827e-10 
111      6.754266258807827e-10 
138      6.754266258807827e-10 
130      6.754266258807827e-10 
45      6.754266258807827e-10 
95      4.844909273281169e-10 
219      4.5541785424971753e-10 
14      4.1802098772373723e-10 
17      4.1802098772373713e-10 
106      4.1489595018558566e-10 
57      3.3897199783499447e-10 
187      3.0221969423617667e-10 
58      3.0221969423617667e-10 
137      3.0221969423617667e-10 
227      3.0221969423617667e-10 
223      3.0221969423617667e-10 
117      3.0221969423617667e-10 
210      3.0221969423617667e-10 
161      3.0221969423617667e-10 
23      2.9848662762989506e-10 
31      2.7786643246457286e-10 
55      2.7786643246457286e-10 
109      2.7786643246457286e-10 
108      2.7786643246457286e-10 
197      2.7786643246457286e-10 
167      2.778664324645728e-10 
99      2.651265859314616e-10 
127      2.503881331548175e-10 
177      2.503881331548175e-10 
97      2.503881331548175e-10 
35      2.503881331548175e-10 
140      2.503881331548175e-10 
146      2.503881331548175e-10 
59      2.503881331548175e-10 
115      2.503881331548175e-10 
198      2.503881331548175e-10 
92      2.503881331548175e-10 
4      2.0778915483499067e-10 
211      2.0778915483499067e-10 
208      2.0778915483499065e-10 
74      2.0778915483499065e-10 
38      1.3771187720540851e-10 
209      1.3771187720540851e-10 
5      1.3771187720540851e-10 
85      1.3771187720540851e-10 
163      1.3771187720540851e-10 
183      1.3771187720540851e-10 
125      1.3771187720540851e-10 
53      1.3771187720540851e-10 
118      1.3771187720540851e-10 
119      1.3771187720540851e-10 
225      1.3771187720540851e-10 
39      1.3771187720540851e-10 
24      1.3771187720540851e-10 
200      1.3771187720540851e-10 
70      1.3771187720540851e-10 
49      1.3771187720540851e-10 
214      1.3771187720540851e-10 
162      1.3771187720540851e-10 
72      1.3771187720540851e-10 
173      1.3771187720540851e-10 
190      1.3771187720540851e-10 
165      1.3771187720540851e-10 
148      1.3771187720540851e-10 
131      1.3771187720540851e-10 
141      1.3771187720540851e-10 
120      1.3771187720540851e-10 
157      1.3771187720540851e-10 
178      1.3771187720540851e-10 
107      1.3771187720540851e-10 
75      1.3771187720540851e-10 
42      1.3771187720540851e-10 
175      1.3771187720540851e-10 
34      1.3771187720540851e-10 
25      1.3771187720540851e-10 
149      1.3771187720540851e-10 
142      1.3771187720540851e-10 
88      1.3771187720540851e-10 
182      1.3771187720540851e-10 
128      1.3771187720540851e-10 
176      1.3771187720540851e-10 
206      1.3771187720540851e-10 
218      1.3771187720540851e-10 
192      1.3771187720540851e-10 
102      1.3771187720540851e-10 
123      1.3771187720540851e-10 
98      1.3771187720540851e-10 
65      1.3771187720540851e-10 
47      1.3771187720540851e-10 
103      1.3771187720540851e-10 
7      1.3771187720540851e-10 
134      1.3771187720540851e-10 
11      1.3771187720540851e-10 
132      1.3771187720540851e-10 
89      1.3771187720540851e-10 
172      1.3771187720540851e-10 
44      1.3771187720540851e-10 
220      1.3771187720540851e-10 
29      1.3771187720540851e-10 
54      1.3771187720540851e-10 
